﻿게시물제목,구분,내용,구글드라이브 URL,유튜브 URL
[아파트] 서울 서초구 방배동 주변 다가구 아파트 01,아파트,#서울 #서초구 #방배동 #주변 #다가구 #아파트,https://drive.google.com/file/d/1BNLBvauNfXL2xBMgg7y_31K82ojy2dTL/view?usp=drive_link,
[도로] 서울 서초구 양재동 강남역 경부고속도로 01,도로,#서울 #서초구 #양재동 #경부고속도로 #강남역,https://drive.google.com/file/d/1RiJLM95Byks8CxLeTt7jUrIeVAratwUA/view?usp=drive_link,
[빌딩] 서울 강남구 논현동 빌딩 강남대로 01,빌딩,#서울 #강남구 #논현동 #빌딩 #강남대로,https://drive.google.com/file/d/1TCkP_qXv0maOBBhvNOITSrroguJoTZIk/view?usp=drive_link,
[드론] 서울 경기도 용인 기흥구 영덕동 01,드론,#용인 #기흥구 #영덕동 #신광교클라우드시티,https://drive.google.com/file/d/1yFq9I9utrWTSyihFJ5hMQ0I0FkUYKvTo/view?usp=drive_link,
[단독/다가구/빌라] 서울 강남구 역삼동 다가구 다세대 01,단독/다가구/빌라,#서울 #강남구 #역삼동 #건물 #다가구 #다세대,https://drive.google.com/file/d/1rYQ8It0Jsl_jtLqLGS22laNR9MQGTk5q/view?usp=drive_link,
